OBJECT_ID,OBJECT_NAME,NORAD_CAT_ID,COUNTRY,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS_SIZE,RCSVALUE,LAUNCH,COMMENT
"1995-042A","MOLNIYA 3-47","23642","CIS","713.03","64.47","38481","1639","LARGE","0","1995-08-09",""
"1995-041C","DELTA 2 R/B(2)","23641","US","532.53","20.29","29402","1368","LARGE","0","1995-08-05",""
"1995-041B","DELTA 2 R/B(1)","23640","US","108.43","26.67","1372","936","LARGE","0","1995-08-05",""
"1995-041A","KOREASAT 1","23639","SKOR","1444.72","14.57","35967","35944","LARGE","0","1995-08-05",""
"1995-040B","ARIANE 42L+3 R/B","23637","FR","658.42","4.81","36765","619","LARGE","0","1995-08-03",""
"1995-040A","INTELSAT 4 (PAS 4)","23636","ITSO","1482.57","9.65","36793","36590","LARGE","0","1995-08-03",""
"1995-038B","ATLAS 2 CENTAUR R/B(1)","23629","US","","","","","","0","1995-07-31","NO LONGER ON ORBIT"
"1995-038A","USA 113","23628","US","1459.51","12.33","36253","36235","LARGE","0","1995-07-31",""
"1995-037F","SL-12 R/B(2)","23625","CIS","674.71","65.53","19123","19085","LARGE","0","1995-07-24",""
"1995-037C","COSMOS 2318 (GLONASS)","23622","CIS","675.73","65.53","19178","19082","LARGE","0","1995-07-24",""
"1995-037B","COSMOS 2317 (GLONASS)","23621","CIS","675.73","65.54","19155","19105","LARGE","0","1995-07-24",""
"1995-037A","COSMOS 2316 (GLONASS)","23620","CIS","675.73","65.53","19163","19097","LARGE","0","1995-07-24",""
"1988-077N","TITAN 34D TRANSTAGE DEB","23619","US","715.72","26.85","39659","594","MEDIUM","0","1988-09-02",""
"1992-047J","SL-12 DEB","23616","CIS","202.50","64.30","9838","251","MEDIUM","0","1992-07-30",""
"1995-035D","IUS R/B(2)","23615","US","1432.75","16.46","35777","35666","LARGE","0","1995-07-13",""
"1995-035C","IUS R/B(1)","23614","US","561.18","25.81","31987","330","LARGE","0","1995-07-13",""
"1995-035B","TDRS 7","23613","US","1436.03","13.87","35905","35665","LARGE","0","1995-07-13",""
"1994-017Q","USA 101 DEB","23611","US","","","","","","0","1994-03-13","NO LONGER ON ORBIT"
"1995-034B","TITAN 4 CENTAUR R/B","23610","US","","","","","","0","1995-07-10","NO LONGER ON ORBIT"
"1995-034A","USA 112","23609","US","717.85","63.02","38525","1833","","0","1995-07-10",""
"1995-033D","ARIANE 40+3 R/B","23608","FR","95.88","98.24","576","546","LARGE","0","1995-07-07",""
"1995-033C","UPM/LBSAT","23607","SPN","97.33","98.19","635","627","MEDIUM","0","1995-07-07",""
